Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 6 2004,Indiana,45,Wisconsin,79,,
Wed Jan 7 2004,Ohio St.,63,Illinois,85,,
Wed Jan 7 2004,Purdue,61,Iowa,71,,
Wed Jan 7 2004,Northwestern,54,Michigan,78,,
Wed Jan 7 2004,Minnesota,72,Penn St.,75,,
Sat Jan 10 2004,Purdue,58,Illinois,54,,
Sat Jan 10 2004,Northwestern,77,Iowa,68,,
Sat Jan 10 2004,Ohio St.,47,Penn St.,64,,
Sat Jan 10 2004,Michigan St.,64,Wisconsin,77,,
Sun Jan 11 2004,Indiana,59,Michigan,57,,
Tue Jan 13 2004,Iowa,83,Minnesota,68,,
Wed Jan 14 2004,Penn St.,58,Michigan St.,76,,
Wed Jan 14 2004,Illinois,60,Northwestern,70,,
Wed Jan 14 2004,Wisconsin,51,Purdue,53,,
Sat Jan 17 2004,Iowa,82,Illinois,88,,
Sat Jan 17 2004,Northwestern,62,Indiana,73,,
Sat Jan 17 2004,Michigan,54,Michigan St.,71,,
Sat Jan 17 2004,Minnesota,62,Ohio St.,73,,
Tue Jan 20 2004,Indiana,69,Ohio St.,61,,
Wed Jan 21 2004,Penn St.,37,Illinois,80,,
Wed Jan 21 2004,Michigan St.,73,Northwestern,61,,
Wed Jan 21 2004,Minnesota,65,Purdue,72,,
Wed Jan 21 2004,Michigan,63,Wisconsin,74,,
Sat Jan 24 2004,Ohio St.,65,Iowa,79,,
Sat Jan 24 2004,Indiana,86,Minnesota,81,OT,
Sat Jan 24 2004,Michigan,69,Penn St.,59,,
Sat Jan 24 2004,Illinois,56,Wisconsin,76,,
Sun Jan 25 2004,Michigan St.,70,Purdue,76,OT,
Tue Jan 27 2004,Purdue,58,Indiana,63,,
Wed Jan 28 2004,Iowa,84,Michigan,90,,
Wed Jan 28 2004,Michigan St.,79,Minnesota,78,OT,
Wed Jan 28 2004,Wisconsin,69,Ohio St.,57,,
Wed Jan 28 2004,Northwestern,61,Penn St.,63,OT,
Sat Jan 31 2004,Michigan,52,Illinois,67,,
Sat Jan 31 2004,Penn St.,58,Iowa,77,,
Sat Jan 31 2004,Indiana,72,Michigan St.,84,,
Sat Jan 31 2004,Minnesota,47,Northwestern,61,,
Sat Jan 31 2004,Ohio St.,65,Purdue,59,,
Tue Feb 3 2004,Illinois,51,Indiana,49,,
Wed Feb 4 2004,Iowa,72,Michigan St.,89,,
Wed Feb 4 2004,Northwestern,64,Ohio St.,72,,
Wed Feb 4 2004,Purdue,62,Penn St.,47,,
Wed Feb 4 2004,Minnesota,66,Wisconsin,80,,
Sat Feb 7 2004,Iowa,84,Indiana,82,2OT,
Sat Feb 7 2004,Purdue,63,Michigan,64,,
Sat Feb 7 2004,Wisconsin,51,Northwestern,69,,
Sat Feb 7 2004,Michigan St.,84,Ohio St.,70,,
Sun Feb 8 2004,Illinois,79,Minnesota,69,,
Tue Feb 10 2004,Michigan St.,51,Illinois,75,,
Wed Feb 11 2004,Wisconsin,54,Iowa,52,,
Wed Feb 11 2004,Michigan,78,Minnesota,81,,
Wed Feb 11 2004,Indiana,75,Penn St.,56,,
Wed Feb 11 2004,Northwestern,40,Purdue,39,,
Sat Feb 14 2004,Michigan,61,Iowa,69,,
Sat Feb 14 2004,Minnesota,58,Michigan St.,69,,
Sat Feb 14 2004,Penn St.,52,Northwestern,65,,
Sat Feb 14 2004,Indiana,56,Purdue,71,,
Sat Feb 14 2004,Ohio St.,48,Wisconsin,78,,
Tue Feb 17 2004,Purdue,55,Michigan St.,62,,
Wed Feb 18 2004,Wisconsin,57,Illinois,65,,
Wed Feb 18 2004,Minnesota,73,Indiana,71,,
Wed Feb 18 2004,Penn St.,53,Michigan,76,,
Wed Feb 18 2004,Iowa,78,Ohio St.,67,,
Sat Feb 21 2004,Ohio St.,59,Indiana,56,,
Sat Feb 21 2004,Northwestern,56,Michigan St.,66,,
Sat Feb 21 2004,Purdue,65,Minnesota,47,,
Sat Feb 21 2004,Illinois,66,Penn St.,58,,
Sun Feb 22 2004,Wisconsin,59,Michigan,71,,
Tue Feb 24 2004,Michigan St.,72,Michigan,69,,
Wed Feb 25 2004,Illinois,78,Iowa,59,,
Wed Feb 25 2004,Ohio St.,70,Minnesota,59,,
Wed Feb 25 2004,Indiana,59,Northwestern,63,,
Wed Feb 25 2004,Penn St.,45,Wisconsin,68,,
Sat Feb 28 2004,Northwestern,56,Illinois,66,,
Sat Feb 28 2004,Minnesota,62,Iowa,66,,
Sat Feb 28 2004,Michigan St.,67,Penn St.,42,,
Sun Feb 29 2004,Ohio St.,64,Michigan,75,,
Sun Feb 29 2004,Purdue,46,Wisconsin,82,,
Tue Mar 2 2004,Wisconsin,68,Michigan St.,64,OT,
Wed Mar 3 2004,Michigan,56,Indiana,61,,
Wed Mar 3 2004,Iowa,49,Northwestern,51,,
Wed Mar 3 2004,Penn St.,64,Ohio St.,71,,
Wed Mar 3 2004,Illinois,81,Purdue,79,OT,
Sat Mar 6 2004,Wisconsin,70,Indiana,52,,
Sat Mar 6 2004,Penn St.,62,Minnesota,78,,
Sat Mar 6 2004,Michigan,63,Northwestern,56,,
Sat Mar 6 2004,Iowa,63,Purdue,62,,
Sun Mar 7 2004,Illinois,64,Ohio St.,63,,
