Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Jan 5 2005,Ohio St.,65,Illinois,84,,
Wed Jan 5 2005,Michigan,65,Iowa,63,,
Wed Jan 5 2005,Indiana,52,Northwestern,73,,
Wed Jan 5 2005,Michigan St.,84,Penn St.,58,,
Wed Jan 5 2005,Wisconsin,77,Purdue,68,,
Sat Jan 8 2005,Wisconsin,61,Indiana,74,,
Sat Jan 8 2005,Northwestern,58,Michigan St.,87,,
Sat Jan 8 2005,Penn St.,62,Minnesota,83,,
Sat Jan 8 2005,Iowa,69,Ohio St.,81,,
Sat Jan 8 2005,Illinois,68,Purdue,59,,
Tue Jan 11 2005,Ohio St.,66,Wisconsin,72,,
Wed Jan 12 2005,Penn St.,64,Illinois,90,,
Wed Jan 12 2005,Northwestern,61,Michigan,71,,
Wed Jan 12 2005,Purdue,52,Minnesota,63,,
Sat Jan 15 2005,Minnesota,60,Iowa,66,,
Sat Jan 15 2005,Illinois,78,Northwestern,66,,
Sat Jan 15 2005,Michigan,66,Penn St.,62,,
Sat Jan 15 2005,Indiana,75,Purdue,73,2OT,
Sun Jan 16 2005,Michigan St.,59,Wisconsin,62,,
Tue Jan 18 2005,Purdue,64,Michigan St.,71,,
Wed Jan 19 2005,Michigan,53,Indiana,62,,
Wed Jan 19 2005,Minnesota,60,Ohio St.,56,OT,
Thu Jan 20 2005,Iowa,68,Illinois,73,OT,
Sat Jan 22 2005,Ohio St.,60,Indiana,67,,
Sat Jan 22 2005,Purdue,57,Iowa,71,,
Sat Jan 22 2005,Wisconsin,72,Michigan,61,,
Sat Jan 22 2005,Michigan St.,69,Minnesota,55,,
Sat Jan 22 2005,Northwestern,62,Penn St.,65,,
Tue Jan 25 2005,Illinois,75,Wisconsin,65,,
Wed Jan 26 2005,Indiana,65,Minnesota,70,,
Wed Jan 26 2005,Iowa,74,Northwestern,75,OT,
Wed Jan 26 2005,Penn St.,62,Ohio St.,68,,
Thu Jan 27 2005,Michigan,53,Michigan St.,64,,
Sat Jan 29 2005,Minnesota,66,Illinois,89,,
Sat Jan 29 2005,Indiana,57,Iowa,72,,
Sat Jan 29 2005,Ohio St.,65,Northwestern,52,,
Sat Jan 29 2005,Wisconsin,76,Penn St.,50,,
Sun Jan 30 2005,Michigan,55,Purdue,84,,
Tue Feb 1 2005,Illinois,81,Michigan St.,68,,
Wed Feb 2 2005,Penn St.,63,Indiana,68,,
Wed Feb 2 2005,Minnesota,71,Michigan,54,,
Wed Feb 2 2005,Purdue,65,Ohio St.,75,,
Wed Feb 2 2005,Northwestern,58,Wisconsin,73,,
Sat Feb 5 2005,Michigan St.,75,Iowa,64,,
Sat Feb 5 2005,Wisconsin,50,Minnesota,60,,
Sat Feb 5 2005,Purdue,61,Northwestern,67,,
Sat Feb 5 2005,Michigan,46,Ohio St.,72,,
Sun Feb 6 2005,Indiana,47,Illinois,60,,
Tue Feb 8 2005,Illinois,57,Michigan,51,,
Wed Feb 9 2005,Ohio St.,69,Michigan St.,83,,
Wed Feb 9 2005,Northwestern,55,Minnesota,53,,
Wed Feb 9 2005,Penn St.,50,Purdue,77,,
Wed Feb 9 2005,Iowa,69,Wisconsin,72,,
Sat Feb 12 2005,Wisconsin,59,Illinois,70,,
Sat Feb 12 2005,Minnesota,56,Indiana,71,,
Sat Feb 12 2005,Northwestern,54,Iowa,64,,
Sat Feb 12 2005,Michigan St.,64,Michigan,49,,
Sat Feb 12 2005,Ohio St.,66,Penn St.,56,,
Tue Feb 15 2005,Indiana,44,Ohio St.,57,,
Wed Feb 16 2005,Minnesota,62,Michigan St.,81,,
Wed Feb 16 2005,Illinois,83,Penn St.,63,,
Wed Feb 16 2005,Iowa,63,Purdue,66,,
Wed Feb 16 2005,Michigan,50,Wisconsin,76,,
Sat Feb 19 2005,Illinois,75,Iowa,65,,
Sat Feb 19 2005,Ohio St.,50,Minnesota,52,,
Sat Feb 19 2005,Penn St.,39,Northwestern,54,,
Sat Feb 19 2005,Michigan St.,68,Purdue,57,,
Sun Feb 20 2005,Indiana,70,Michigan,63,,
Tue Feb 22 2005,Purdue,62,Indiana,79,,
Wed Feb 23 2005,Northwestern,48,Illinois,84,,
Wed Feb 23 2005,Penn St.,48,Michigan,63,,
Wed Feb 23 2005,Iowa,57,Minnesota,65,,
Thu Feb 24 2005,Wisconsin,64,Michigan St.,77,,
Sat Feb 26 2005,Michigan,53,Northwestern,69,,
Sat Feb 26 2005,Iowa,78,Penn St.,56,,
Sat Feb 26 2005,Minnesota,59,Purdue,57,,
Sun Feb 27 2005,Michigan St.,74,Indiana,78,OT,
Sun Feb 27 2005,Wisconsin,64,Ohio St.,56,,
Tue Mar 1 2005,Indiana,60,Wisconsin,62,,
Wed Mar 2 2005,Ohio St.,72,Iowa,74,,
Wed Mar 2 2005,Michigan St.,69,Northwestern,58,,
Wed Mar 2 2005,Minnesota,73,Penn St.,69,,
Thu Mar 3 2005,Purdue,50,Illinois,84,,
Sat Mar 5 2005,Northwestern,55,Indiana,77,,
Sat Mar 5 2005,Iowa,74,Michigan,72,OT,
Sat Mar 5 2005,Penn St.,64,Michigan St.,90,,
Sat Mar 5 2005,Purdue,52,Wisconsin,64,,
Sun Mar 6 2005,Illinois,64,Ohio St.,65,,
