Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 30 2014,Illinois,65,Michigan,73,OT,
Tue Dec 30 2014,Maryland,68,Michigan St.,66,2OT,
Tue Dec 30 2014,Iowa,71,Ohio St.,65,,
Tue Dec 30 2014,Northwestern,51,Rutgers,47,,
Wed Dec 31 2014,Indiana,70,Nebraska,65,,
Wed Dec 31 2014,Minnesota,68,Purdue,72,,
Wed Dec 31 2014,Penn St.,72,Wisconsin,89,,
Sat Jan 3 2015,Minnesota,58,Maryland,70,,
Sat Jan 3 2015,Illinois,61,Ohio St.,77,,
Sat Jan 3 2015,Michigan,51,Purdue,64,,
Sat Jan 3 2015,Penn St.,46,Rutgers,50,,
Sun Jan 4 2015,Wisconsin,81,Northwestern,58,,
Mon Jan 5 2015,Nebraska,59,Iowa,70,,
Mon Jan 5 2015,Indiana,50,Michigan St.,70,,
Tue Jan 6 2015,Ohio St.,74,Minnesota,72,OT,
Tue Jan 6 2015,Michigan,73,Penn St.,64,,
Wed Jan 7 2015,Maryland,57,Illinois,64,,
Wed Jan 7 2015,Purdue,55,Wisconsin,62,,
Thu Jan 8 2015,Michigan St.,75,Iowa,61,,
Thu Jan 8 2015,Rutgers,49,Nebraska,65,,
Sat Jan 10 2015,Ohio St.,66,Indiana,69,,
Sat Jan 10 2015,Minnesota,57,Michigan,62,,
Sat Jan 10 2015,Maryland,69,Purdue,60,,
Sun Jan 11 2015,Northwestern,77,Michigan St.,84,OT,
Sun Jan 11 2015,Illinois,43,Nebraska,53,,
Sun Jan 11 2015,Wisconsin,62,Rutgers,67,,
Tue Jan 13 2015,Penn St.,73,Indiana,76,,
Tue Jan 13 2015,Iowa,77,Minnesota,75,,
Tue Jan 13 2015,Michigan,52,Ohio St.,71,,
Wed Jan 14 2015,Rutgers,65,Maryland,73,,
Wed Jan 14 2015,Illinois,72,Northwestern,67,,
Thu Jan 15 2015,Nebraska,55,Wisconsin,70,,
Sat Jan 17 2015,Ohio St.,67,Iowa,76,,
Sat Jan 17 2015,Michigan St.,59,Maryland,75,,
Sat Jan 17 2015,Northwestern,54,Michigan,56,,
Sat Jan 17 2015,Rutgers,80,Minnesota,89,,
Sat Jan 17 2015,Purdue,84,Penn St.,77,OT,
Sun Jan 18 2015,Indiana,80,Illinois,74,,
Tue Jan 20 2015,Minnesota,49,Nebraska,52,,
Tue Jan 20 2015,Michigan,54,Rutgers,50,,
Tue Jan 20 2015,Iowa,50,Wisconsin,82,,
Wed Jan 21 2015,Purdue,57,Illinois,66,,
Wed Jan 21 2015,Penn St.,60,Michigan St.,66,,
Thu Jan 22 2015,Maryland,70,Indiana,89,,
Thu Jan 22 2015,Ohio St.,69,Northwestern,67,,
Sat Jan 24 2015,Wisconsin,69,Michigan,64,OT,
Sat Jan 24 2015,Illinois,71,Minnesota,79,,
Sat Jan 24 2015,Michigan St.,77,Nebraska,79,,
Sat Jan 24 2015,Rutgers,51,Penn St.,79,,
Sat Jan 24 2015,Iowa,63,Purdue,67,,
Sun Jan 25 2015,Northwestern,67,Maryland,68,,
Sun Jan 25 2015,Indiana,70,Ohio St.,82,,
Tue Jan 27 2015,Nebraska,44,Michigan,58,,
Wed Jan 28 2015,Minnesota,58,Penn St.,63,,
Wed Jan 28 2015,Indiana,67,Purdue,83,,
Thu Jan 29 2015,Maryland,56,Ohio St.,80,,
Thu Jan 29 2015,Michigan St.,71,Rutgers,51,,
Sat Jan 31 2015,Penn St.,58,Illinois,60,,
Sat Jan 31 2015,Rutgers,64,Indiana,72,,
Sat Jan 31 2015,Wisconsin,74,Iowa,63,,
Sat Jan 31 2015,Nebraska,42,Minnesota,60,,
Sat Jan 31 2015,Purdue,68,Northwestern,60,,
Sun Feb 1 2015,Michigan,66,Michigan St.,76,OT,
Tue Feb 3 2015,Rutgers,54,Illinois,66,,
Tue Feb 3 2015,Northwestern,60,Nebraska,76,,
Tue Feb 3 2015,Indiana,78,Wisconsin,92,,
Wed Feb 4 2015,Penn St.,58,Maryland,64,,
Wed Feb 4 2015,Ohio St.,58,Purdue,60,,
Thu Feb 5 2015,Iowa,72,Michigan,54,,
Sat Feb 7 2015,Illinois,59,Michigan St.,54,,
Sat Feb 7 2015,Purdue,58,Minnesota,62,,
Sat Feb 7 2015,Nebraska,43,Penn St.,56,,
Sat Feb 7 2015,Northwestern,50,Wisconsin,65,,
Sun Feb 8 2015,Michigan,67,Indiana,70,,
Sun Feb 8 2015,Maryland,55,Iowa,71,,
Sun Feb 8 2015,Ohio St.,79,Rutgers,60,,
Tue Feb 10 2015,Wisconsin,65,Nebraska,55,,
Tue Feb 10 2015,Michigan St.,68,Northwestern,44,,
Wed Feb 11 2015,Indiana,66,Maryland,68,,
Wed Feb 11 2015,Penn St.,55,Ohio St.,75,,
Thu Feb 12 2015,Michigan,52,Illinois,64,OT,
Thu Feb 12 2015,Minnesota,64,Iowa,59,,
Thu Feb 12 2015,Purdue,61,Rutgers,51,,
Sat Feb 14 2015,Ohio St.,56,Michigan St.,59,,
Sat Feb 14 2015,Maryland,76,Penn St.,73,,
Sun Feb 15 2015,Minnesota,71,Indiana,90,,
Sun Feb 15 2015,Iowa,61,Northwestern,66,OT,
Sun Feb 15 2015,Nebraska,54,Purdue,66,,
Sun Feb 15 2015,Illinois,49,Wisconsin,68,,
Tue Feb 17 2015,Michigan St.,80,Michigan,67,,
Wed Feb 18 2015,Northwestern,72,Minnesota,66,,
Wed Feb 18 2015,Wisconsin,55,Penn St.,47,,
Thu Feb 19 2015,Purdue,67,Indiana,63,,
Thu Feb 19 2015,Rutgers,47,Iowa,81,,
Thu Feb 19 2015,Nebraska,65,Maryland,69,,
Sat Feb 21 2015,Penn St.,39,Northwestern,60,,
Sat Feb 21 2015,Minnesota,53,Wisconsin,63,,
Sun Feb 22 2015,Michigan St.,60,Illinois,53,,
Sun Feb 22 2015,Ohio St.,57,Michigan,64,,
Sun Feb 22 2015,Iowa,74,Nebraska,46,,
Sun Feb 22 2015,Indiana,84,Rutgers,54,,
Tue Feb 24 2015,Wisconsin,53,Maryland,59,,
Wed Feb 25 2015,Illinois,60,Iowa,68,,
Wed Feb 25 2015,Indiana,65,Northwestern,72,,
Thu Feb 26 2015,Minnesota,96,Michigan St.,90,OT,
Thu Feb 26 2015,Nebraska,57,Ohio St.,81,,
Thu Feb 26 2015,Rutgers,85,Purdue,92,,
Sat Feb 28 2015,Northwestern,60,Illinois,86,,
Sat Feb 28 2015,Michigan,56,Maryland,66,,
Sat Feb 28 2015,Iowa,81,Penn St.,77,OT,
Sun Mar 1 2015,Purdue,61,Ohio St.,65,,
Sun Mar 1 2015,Michigan St.,61,Wisconsin,68,,
Tue Mar 3 2015,Iowa,77,Indiana,63,,
Tue Mar 3 2015,Michigan,78,Northwestern,82,2OT,
Tue Mar 3 2015,Maryland,60,Rutgers,50,,
Wed Mar 4 2015,Nebraska,57,Illinois,69,,
Wed Mar 4 2015,Purdue,66,Michigan St.,72,,
Wed Mar 4 2015,Ohio St.,77,Penn St.,67,,
Thu Mar 5 2015,Wisconsin,76,Minnesota,63,,
Sat Mar 7 2015,Michigan St.,74,Indiana,72,,
Sat Mar 7 2015,Northwestern,52,Iowa,69,,
Sat Mar 7 2015,Rutgers,69,Michigan,79,,
Sat Mar 7 2015,Illinois,58,Purdue,63,,
Sun Mar 8 2015,Penn St.,79,Minnesota,76,,
Sun Mar 8 2015,Maryland,64,Nebraska,61,,
Sun Mar 8 2015,Wisconsin,72,Ohio St.,48,,
