Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 29 2015,Michigan St.,70,Iowa,83,,
Tue Dec 29 2015,Purdue,61,Wisconsin,55,,
Wed Dec 30 2015,Michigan,78,Illinois,68,,
Wed Dec 30 2015,Penn St.,64,Maryland,70,,
Wed Dec 30 2015,Northwestern,81,Nebraska,72,,
Wed Dec 30 2015,Minnesota,63,Ohio St.,78,,
Wed Dec 30 2015,Indiana,79,Rutgers,72,,
Sat Jan 2 2016,Penn St.,56,Michigan,79,,
Sat Jan 2 2016,Michigan St.,69,Minnesota,61,,
Sat Jan 2 2016,Indiana,79,Nebraska,69,,
Sat Jan 2 2016,Maryland,72,Northwestern,59,,
Sat Jan 2 2016,Iowa,70,Purdue,63,,
Sat Jan 2 2016,Rutgers,57,Wisconsin,79,,
Sun Jan 3 2016,Illinois,73,Ohio St.,75,,
Tue Jan 5 2016,Wisconsin,58,Indiana,59,,
Tue Jan 5 2016,Nebraska,66,Iowa,77,,
Tue Jan 5 2016,Minnesota,77,Penn St.,86,,
Wed Jan 6 2016,Rutgers,63,Maryland,88,,
Wed Jan 6 2016,Ohio St.,65,Northwestern,56,,
Thu Jan 7 2016,Illinois,54,Michigan St.,79,,
Thu Jan 7 2016,Michigan,70,Purdue,87,,
Sat Jan 9 2016,Northwestern,77,Minnesota,52,,
Sat Jan 9 2016,Nebraska,90,Rutgers,56,,
Sat Jan 9 2016,Maryland,63,Wisconsin,60,,
Sun Jan 10 2016,Purdue,70,Illinois,84,,
Sun Jan 10 2016,Ohio St.,60,Indiana,85,,
Sun Jan 10 2016,Michigan St.,92,Penn St.,65,,
Tue Jan 12 2016,Maryland,67,Michigan,70,,
Tue Jan 12 2016,Minnesota,59,Nebraska,84,,
Tue Jan 12 2016,Wisconsin,65,Northwestern,70,,
Wed Jan 13 2016,Rutgers,68,Ohio St.,94,,
Wed Jan 13 2016,Penn St.,57,Purdue,74,,
Thu Jan 14 2016,Iowa,76,Michigan St.,59,,
Sat Jan 16 2016,Nebraska,78,Illinois,67,,
Sat Jan 16 2016,Ohio St.,65,Maryland,100,,
Sat Jan 16 2016,Indiana,70,Minnesota,63,,
Sat Jan 16 2016,Penn St.,71,Northwestern,62,,
Sun Jan 17 2016,Michigan,71,Iowa,82,,
Sun Jan 17 2016,Michigan St.,76,Wisconsin,77,,
Mon Jan 18 2016,Purdue,107,Rutgers,57,,
Tue Jan 19 2016,Illinois,69,Indiana,103,,
Tue Jan 19 2016,Northwestern,56,Maryland,62,OT,
Wed Jan 20 2016,Minnesota,69,Michigan,74,,
Wed Jan 20 2016,Nebraska,72,Michigan St.,71,,
Thu Jan 21 2016,Wisconsin,66,Penn St.,60,,
Thu Jan 21 2016,Ohio St.,64,Purdue,75,,
Thu Jan 21 2016,Iowa,90,Rutgers,76,,
Sat Jan 23 2016,Northwestern,57,Indiana,89,,
Sat Jan 23 2016,Maryland,65,Michigan St.,74,,
Sat Jan 23 2016,Illinois,76,Minnesota,71,OT,
Sat Jan 23 2016,Michigan,81,Nebraska,68,,
Sun Jan 24 2016,Purdue,71,Iowa,83,,
Mon Jan 25 2016,Penn St.,46,Ohio St.,66,,
Tue Jan 26 2016,Indiana,79,Wisconsin,82,OT,
Wed Jan 27 2016,Rutgers,57,Michigan,68,,
Wed Jan 27 2016,Purdue,68,Minnesota,64,,
Thu Jan 28 2016,Ohio St.,68,Illinois,63,OT,
Thu Jan 28 2016,Iowa,68,Maryland,74,,
Thu Jan 28 2016,Michigan St.,76,Northwestern,45,,
Sat Jan 30 2016,Minnesota,68,Indiana,74,,
Sat Jan 30 2016,Michigan,79,Penn St.,72,,
Sat Jan 30 2016,Nebraska,74,Purdue,89,,
Sun Jan 31 2016,Wisconsin,63,Illinois,55,,
Sun Jan 31 2016,Northwestern,71,Iowa,85,,
Sun Jan 31 2016,Rutgers,62,Michigan St.,96,,
Sun Jan 31 2016,Maryland,66,Ohio St.,61,,
Tue Feb 2 2016,Indiana,80,Michigan,67,,
Wed Feb 3 2016,Penn St.,49,Iowa,73,,
Wed Feb 3 2016,Maryland,70,Nebraska,65,,
Wed Feb 3 2016,Illinois,110,Rutgers,101,3OT,
Thu Feb 4 2016,Minnesota,58,Northwestern,82,,
Thu Feb 4 2016,Ohio St.,68,Wisconsin,79,,
Sat Feb 6 2016,Purdue,61,Maryland,72,,
Sat Feb 6 2016,Michigan St.,89,Michigan,73,,
Sat Feb 6 2016,Rutgers,63,Nebraska,87,,
Sat Feb 6 2016,Indiana,63,Penn St.,68,,
Sun Feb 7 2016,Iowa,77,Illinois,65,,
Tue Feb 9 2016,Northwestern,63,Ohio St.,71,,
Tue Feb 9 2016,Michigan St.,81,Purdue,82,OT,
Wed Feb 10 2016,Michigan,82,Minnesota,74,,
Wed Feb 10 2016,Nebraska,61,Wisconsin,72,,
Thu Feb 11 2016,Iowa,78,Indiana,85,,
Sat Feb 13 2016,Wisconsin,70,Maryland,57,,
Sat Feb 13 2016,Purdue,56,Michigan,61,,
Sat Feb 13 2016,Penn St.,54,Nebraska,70,,
Sat Feb 13 2016,Illinois,56,Northwestern,58,,
Sat Feb 13 2016,Ohio St.,79,Rutgers,69,,
Sun Feb 14 2016,Minnesota,71,Iowa,75,,
Sun Feb 14 2016,Indiana,69,Michigan St.,88,,
Tue Feb 16 2016,Rutgers,66,Illinois,82,,
Tue Feb 16 2016,Michigan,66,Ohio St.,76,,
Tue Feb 16 2016,Northwestern,61,Purdue,71,,
Wed Feb 17 2016,Nebraska,64,Indiana,80,,
Wed Feb 17 2016,Iowa,75,Penn St.,79,,
Thu Feb 18 2016,Wisconsin,57,Michigan St.,69,,
Thu Feb 18 2016,Maryland,63,Minnesota,68,,
Sat Feb 20 2016,Purdue,73,Indiana,77,,
Sat Feb 20 2016,Ohio St.,65,Nebraska,62,OT,
Sat Feb 20 2016,Penn St.,70,Rutgers,58,,
Sun Feb 21 2016,Michigan,82,Maryland,86,,
Sun Feb 21 2016,Illinois,60,Wisconsin,69,,
Tue Feb 23 2016,Rutgers,61,Minnesota,83,,
Tue Feb 23 2016,Michigan St.,81,Ohio St.,62,,
Wed Feb 24 2016,Wisconsin,67,Iowa,59,,
Wed Feb 24 2016,Northwestern,63,Michigan,72,,
Thu Feb 25 2016,Indiana,74,Illinois,47,,
Thu Feb 25 2016,Nebraska,55,Penn St.,56,,
Sat Feb 27 2016,Rutgers,59,Northwestern,98,,
Sat Feb 27 2016,Maryland,79,Purdue,83,,
Sun Feb 28 2016,Minnesota,71,Illinois,84,,
Sun Feb 28 2016,Penn St.,57,Michigan St.,88,,
Sun Feb 28 2016,Iowa,64,Ohio St.,68,,
Sun Feb 28 2016,Michigan,57,Wisconsin,68,,
Tue Mar 1 2016,Indiana,81,Iowa,78,,
Tue Mar 1 2016,Purdue,81,Nebraska,62,,
Wed Mar 2 2016,Wisconsin,62,Minnesota,49,,
Wed Mar 2 2016,Michigan St.,97,Rutgers,66,,
Thu Mar 3 2016,Illinois,55,Maryland,81,,
Thu Mar 3 2016,Northwestern,71,Penn St.,61,,
Sat Mar 5 2016,Iowa,71,Michigan,61,,
Sat Mar 5 2016,Ohio St.,76,Michigan St.,91,,
Sat Mar 5 2016,Minnesota,52,Rutgers,75,,
Sun Mar 6 2016,Maryland,62,Indiana,80,,
Sun Mar 6 2016,Nebraska,54,Northwestern,65,,
Sun Mar 6 2016,Illinois,79,Penn St.,86,2OT,
Sun Mar 6 2016,Wisconsin,80,Purdue,91,,
