Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 7 2003,Illinois,76,Minnesota,70,,
Wed Jan 8 2003,Penn St.,65,Indiana,78,,
Wed Jan 8 2003,Wisconsin,65,Michigan,66,,
Wed Jan 8 2003,Iowa,68,Northwestern,63,,
Thu Jan 9 2003,Ohio St.,55,Michigan St.,66,,
Sat Jan 11 2003,Wisconsin,63,Illinois,69,,
Sat Jan 11 2003,Michigan St.,64,Iowa,68,,
Sat Jan 11 2003,Penn St.,53,Michigan,66,,
Sat Jan 11 2003,Indiana,69,Ohio St.,81,,
Sat Jan 11 2003,Northwestern,68,Purdue,82,,
Tue Jan 14 2003,Michigan St.,60,Purdue,72,,
Wed Jan 15 2003,Northwestern,57,Indiana,71,,
Wed Jan 15 2003,Illinois,61,Iowa,68,,
Wed Jan 15 2003,Michigan,61,Ohio St.,50,,
Wed Jan 15 2003,Minnesota,50,Wisconsin,66,,
Sat Jan 18 2003,Illinois,66,Indiana,74,,
Sat Jan 18 2003,Michigan St.,69,Minnesota,77,,
Sat Jan 18 2003,Michigan,77,Northwestern,70,,
Sat Jan 18 2003,Wisconsin,53,Ohio St.,52,,
Sat Jan 18 2003,Purdue,82,Penn St.,78,,
Tue Jan 21 2003,Ohio St.,51,Indiana,69,,
Wed Jan 22 2003,Purdue,62,Illinois,75,,
Wed Jan 22 2003,Minnesota,63,Michigan,75,,
Wed Jan 22 2003,Penn St.,36,Michigan St.,70,,
Wed Jan 22 2003,Iowa,61,Wisconsin,74,,
Sat Jan 25 2003,Ohio St.,83,Iowa,72,,
Sat Jan 25 2003,Northwestern,57,Minnesota,74,,
Sat Jan 25 2003,Illinois,75,Penn St.,63,,
Sat Jan 25 2003,Indiana,47,Purdue,69,,
Sun Jan 26 2003,Michigan St.,58,Michigan,60,,
Tue Jan 28 2003,Indiana,54,Michigan St.,61,,
Wed Jan 29 2003,Michigan,60,Illinois,67,,
Wed Jan 29 2003,Minnesota,76,Penn St.,75,,
Wed Jan 29 2003,Ohio St.,65,Purdue,70,,
Wed Jan 29 2003,Northwestern,50,Wisconsin,69,,
Sat Feb 1 2003,Purdue,80,Iowa,77,OT,
Sat Feb 1 2003,Michigan,80,Minnesota,87,,
Sat Feb 1 2003,Northwestern,52,Ohio St.,65,,
Sat Feb 1 2003,Penn St.,55,Wisconsin,86,,
Sun Feb 2 2003,Illinois,65,Michigan St.,68,,
Wed Feb 5 2003,Indiana,61,Northwestern,74,,
Wed Feb 5 2003,Minnesota,68,Ohio St.,73,,
Wed Feb 5 2003,Iowa,75,Penn St.,55,,
Wed Feb 5 2003,Wisconsin,60,Purdue,78,,
Sat Feb 8 2003,Michigan St.,67,Indiana,62,OT,
Sat Feb 8 2003,Iowa,62,Michigan,70,,
Sat Feb 8 2003,Purdue,68,Minnesota,90,,
Sat Feb 8 2003,Wisconsin,74,Northwestern,59,,
Sun Feb 9 2003,Ohio St.,57,Illinois,76,,
Tue Feb 11 2003,Michigan St.,53,Wisconsin,64,,
Wed Feb 12 2003,Michigan,49,Indiana,63,,
Wed Feb 12 2003,Iowa,64,Minnesota,77,,
Wed Feb 12 2003,Purdue,67,Northwestern,78,,
Wed Feb 12 2003,Ohio St.,76,Penn St.,67,,
Sat Feb 15 2003,Penn St.,71,Iowa,84,,
Sat Feb 15 2003,Ohio St.,54,Michigan,70,,
Sat Feb 15 2003,Northwestern,51,Michigan St.,64,,
Sat Feb 15 2003,Illinois,61,Purdue,70,,
Sat Feb 15 2003,Indiana,59,Wisconsin,71,,
Tue Feb 18 2003,Michigan St.,40,Illinois,70,,
Wed Feb 19 2003,Indiana,79,Iowa,63,,
Wed Feb 19 2003,Minnesota,73,Northwestern,61,,
Wed Feb 19 2003,Wisconsin,57,Penn St.,58,,
Wed Feb 19 2003,Michigan,78,Purdue,67,,
Sat Feb 22 2003,Northwestern,61,Illinois,73,,
Sat Feb 22 2003,Wisconsin,61,Iowa,53,,
Sat Feb 22 2003,Penn St.,62,Minnesota,77,,
Sat Feb 22 2003,Purdue,44,Ohio St.,52,,
Tue Feb 25 2003,Indiana,54,Illinois,80,,
Tue Feb 25 2003,Iowa,71,Ohio St.,64,,
Wed Feb 26 2003,Minnesota,61,Michigan St.,71,,
Wed Feb 26 2003,Penn St.,55,Purdue,79,,
Wed Feb 26 2003,Michigan,42,Wisconsin,73,,
Sat Mar 1 2003,Iowa,88,Indiana,91,OT,
Sat Mar 1 2003,Illinois,82,Michigan,79,,
Sat Mar 1 2003,Purdue,61,Michigan St.,69,,
Sat Mar 1 2003,Penn St.,79,Northwestern,85,2OT,
Sun Mar 2 2003,Wisconsin,69,Minnesota,61,,
Tue Mar 4 2003,Minnesota,70,Indiana,74,,
Wed Mar 5 2003,Iowa,54,Michigan St.,82,,
Wed Mar 5 2003,Ohio St.,52,Northwestern,48,,
Wed Mar 5 2003,Michigan,78,Penn St.,62,,
Wed Mar 5 2003,Illinois,59,Wisconsin,60,,
Sat Mar 8 2003,Northwestern,61,Iowa,77,,
Sat Mar 8 2003,Purdue,69,Michigan,61,,
Sat Mar 8 2003,Michigan St.,72,Ohio St.,58,,
Sat Mar 8 2003,Indiana,66,Penn St.,74,,
Sun Mar 9 2003,Minnesota,60,Illinois,84,,
