Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 31 2013,Indiana,80,Illinois,83,OT,
Tue Dec 31 2013,Nebraska,57,Iowa,67,,
Tue Dec 31 2013,Michigan St.,79,Penn St.,63,,
Tue Dec 31 2013,Ohio St.,78,Purdue,69,,
Thu Jan 2 2014,Michigan,63,Minnesota,60,,
Thu Jan 2 2014,Wisconsin,76,Northwestern,49,,
Sat Jan 4 2014,Penn St.,55,Illinois,75,,
Sat Jan 4 2014,Michigan St.,73,Indiana,56,,
Sat Jan 4 2014,Nebraska,53,Ohio St.,84,,
Sun Jan 5 2014,Northwestern,51,Michigan,74,,
Sun Jan 5 2014,Purdue,79,Minnesota,82,,
Sun Jan 5 2014,Iowa,71,Wisconsin,75,,
Tue Jan 7 2014,Ohio St.,68,Michigan St.,72,OT,
Wed Jan 8 2014,Minnesota,68,Penn St.,65,,
Wed Jan 8 2014,Illinois,70,Wisconsin,95,,
Thu Jan 9 2014,Northwestern,67,Iowa,93,,
Thu Jan 9 2014,Michigan,71,Nebraska,70,,
Sat Jan 11 2014,Minnesota,75,Michigan St.,87,OT,
Sat Jan 11 2014,Indiana,79,Penn St.,76,,
Sun Jan 12 2014,Illinois,43,Northwestern,49,,
Sun Jan 12 2014,Iowa,84,Ohio St.,74,,
Sun Jan 12 2014,Nebraska,64,Purdue,70,,
Tue Jan 14 2014,Wisconsin,72,Indiana,75,,
Tue Jan 14 2014,Penn St.,67,Michigan,80,,
Wed Jan 15 2014,Purdue,66,Illinois,58,,
Wed Jan 15 2014,Michigan St.,54,Northwestern,40,,
Thu Jan 16 2014,Ohio St.,53,Minnesota,63,,
Sat Jan 18 2014,Michigan St.,78,Illinois,62,,
Sat Jan 18 2014,Northwestern,54,Indiana,47,,
Sat Jan 18 2014,Penn St.,64,Purdue,65,,
Sat Jan 18 2014,Michigan,77,Wisconsin,70,,
Sun Jan 19 2014,Minnesota,73,Iowa,94,,
Mon Jan 20 2014,Ohio St.,62,Nebraska,68,,
Tue Jan 21 2014,Indiana,66,Michigan St.,71,,
Tue Jan 21 2014,Purdue,60,Northwestern,63,2OT,
Wed Jan 22 2014,Iowa,67,Michigan,75,,
Wed Jan 22 2014,Wisconsin,68,Minnesota,81,,
Thu Jan 23 2014,Illinois,55,Ohio St.,62,,
Thu Jan 23 2014,Nebraska,54,Penn St.,58,,
Sat Jan 25 2014,Michigan,80,Michigan St.,75,,
Sat Jan 25 2014,Iowa,76,Northwestern,50,,
Sat Jan 25 2014,Wisconsin,72,Purdue,58,,
Sun Jan 26 2014,Illinois,46,Indiana,56,,
Sun Jan 26 2014,Minnesota,78,Nebraska,82,,
Tue Jan 28 2014,Michigan St.,71,Iowa,69,OT,
Wed Jan 29 2014,Penn St.,71,Ohio St.,70,OT,
Wed Jan 29 2014,Northwestern,65,Wisconsin,56,,
Thu Jan 30 2014,Purdue,66,Michigan,75,,
Thu Jan 30 2014,Indiana,55,Nebraska,60,,
Sat Feb 1 2014,Iowa,81,Illinois,74,,
Sat Feb 1 2014,Northwestern,55,Minnesota,54,,
Sat Feb 1 2014,Ohio St.,59,Wisconsin,58,,
Sun Feb 2 2014,Michigan,52,Indiana,63,,
Sun Feb 2 2014,Purdue,68,Penn St.,79,,
Tue Feb 4 2014,Wisconsin,75,Illinois,63,,
Tue Feb 4 2014,Ohio St.,76,Iowa,69,,
Wed Feb 5 2014,Nebraska,50,Michigan,79,,
Wed Feb 5 2014,Minnesota,74,Purdue,77,3OT,
Thu Feb 6 2014,Penn St.,67,Michigan St.,82,,
Sat Feb 8 2014,Michigan,67,Iowa,85,,
Sat Feb 8 2014,Indiana,60,Minnesota,66,,
Sat Feb 8 2014,Nebraska,53,Northwestern,49,,
Sat Feb 8 2014,Purdue,49,Ohio St.,67,,
Sun Feb 9 2014,Illinois,60,Penn St.,55,,
Sun Feb 9 2014,Michigan St.,58,Wisconsin,60,,
Tue Feb 11 2014,Michigan,70,Ohio St.,60,,
Wed Feb 12 2014,Penn St.,66,Indiana,65,,
Wed Feb 12 2014,Illinois,58,Nebraska,67,,
Thu Feb 13 2014,Northwestern,70,Michigan St.,85,,
Thu Feb 13 2014,Minnesota,70,Wisconsin,78,,
Sat Feb 15 2014,Ohio St.,48,Illinois,39,,
Sat Feb 15 2014,Iowa,82,Penn St.,70,,
Sat Feb 15 2014,Indiana,64,Purdue,82,,
Sun Feb 16 2014,Wisconsin,75,Michigan,62,,
Sun Feb 16 2014,Nebraska,60,Michigan St.,51,,
Sun Feb 16 2014,Minnesota,54,Northwestern,48,,
Wed Feb 19 2014,Illinois,62,Minnesota,49,,
Wed Feb 19 2014,Northwestern,60,Ohio St.,76,,
Thu Feb 20 2014,Penn St.,67,Nebraska,80,,
Thu Feb 20 2014,Michigan St.,94,Purdue,79,,
Sat Feb 22 2014,Wisconsin,79,Iowa,74,,
Sat Feb 22 2014,Indiana,61,Northwestern,56,,
Sat Feb 22 2014,Minnesota,46,Ohio St.,64,,
Sun Feb 23 2014,Michigan St.,70,Michigan,79,,
Sun Feb 23 2014,Purdue,57,Nebraska,76,,
Tue Feb 25 2014,Iowa,89,Minnesota,95,,
Tue Feb 25 2014,Indiana,58,Wisconsin,69,,
Wed Feb 26 2014,Nebraska,49,Illinois,60,,
Wed Feb 26 2014,Michigan,77,Purdue,76,OT,
Thu Feb 27 2014,Iowa,86,Indiana,93,,
Thu Feb 27 2014,Ohio St.,63,Penn St.,65,,
Sat Mar 1 2014,Minnesota,56,Michigan,66,,
Sat Mar 1 2014,Illinois,53,Michigan St.,46,,
Sat Mar 1 2014,Northwestern,47,Nebraska,54,,
Sun Mar 2 2014,Ohio St.,64,Indiana,72,,
Sun Mar 2 2014,Purdue,76,Iowa,83,,
Sun Mar 2 2014,Wisconsin,71,Penn St.,66,,
Tue Mar 4 2014,Michigan,84,Illinois,53,,
Wed Mar 5 2014,Nebraska,70,Indiana,60,,
Wed Mar 5 2014,Purdue,70,Wisconsin,76,,
Thu Mar 6 2014,Iowa,76,Michigan St.,86,,
Thu Mar 6 2014,Penn St.,59,Northwestern,32,,
Sat Mar 8 2014,Illinois,66,Iowa,63,,
Sat Mar 8 2014,Indiana,80,Michigan,84,,
Sun Mar 9 2014,Penn St.,63,Minnesota,81,,
Sun Mar 9 2014,Wisconsin,68,Nebraska,77,,
Sun Mar 9 2014,Michigan St.,67,Ohio St.,69,,
Sun Mar 9 2014,Northwestern,74,Purdue,65,,
