Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 27 2011,Minnesota,72,Illinois,81,2OT,
Tue Dec 27 2011,Wisconsin,64,Nebraska,40,,
Wed Dec 28 2011,Purdue,79,Iowa,76,,
Wed Dec 28 2011,Indiana,65,Michigan St.,80,,
Wed Dec 28 2011,Northwestern,54,Ohio St.,87,,
Thu Dec 29 2011,Penn St.,53,Michigan,71,,
Sat Dec 31 2011,Ohio St.,70,Indiana,74,,
Sat Dec 31 2011,Michigan St.,68,Nebraska,55,,
Sat Dec 31 2011,Illinois,60,Purdue,75,,
Sat Dec 31 2011,Iowa,72,Wisconsin,65,,
Sun Jan 1 2012,Minnesota,56,Michigan,61,,
Sun Jan 1 2012,Penn St.,56,Northwestern,68,,
Tue Jan 3 2012,Nebraska,40,Ohio St.,71,,
Tue Jan 3 2012,Michigan St.,63,Wisconsin,60,OT,
Wed Jan 4 2012,Iowa,64,Minnesota,62,,
Wed Jan 4 2012,Illinois,57,Northwestern,56,,
Thu Jan 5 2012,Michigan,71,Indiana,73,,
Thu Jan 5 2012,Purdue,45,Penn St.,65,,
Sat Jan 7 2012,Nebraska,54,Illinois,59,,
Sat Jan 7 2012,Ohio St.,76,Iowa,47,,
Sun Jan 8 2012,Wisconsin,41,Michigan,59,,
Sun Jan 8 2012,Purdue,79,Minnesota,66,,
Sun Jan 8 2012,Indiana,88,Penn St.,82,,
Tue Jan 10 2012,Ohio St.,74,Illinois,79,,
Tue Jan 10 2012,Iowa,61,Michigan St.,95,,
Wed Jan 11 2012,Northwestern,64,Michigan,66,OT,
Wed Jan 11 2012,Penn St.,58,Nebraska,70,,
Thu Jan 12 2012,Minnesota,77,Indiana,74,,
Thu Jan 12 2012,Wisconsin,67,Purdue,62,,
Sat Jan 14 2012,Michigan,59,Iowa,75,,
Sat Jan 14 2012,Michigan St.,74,Northwestern,81,,
Sun Jan 15 2012,Indiana,63,Ohio St.,80,,
Sun Jan 15 2012,Minnesota,80,Penn St.,66,,
Sun Jan 15 2012,Nebraska,45,Wisconsin,50,,
Tue Jan 17 2012,Michigan St.,59,Michigan,60,,
Tue Jan 17 2012,Iowa,68,Purdue,75,,
Wed Jan 18 2012,Indiana,69,Nebraska,70,,
Wed Jan 18 2012,Northwestern,57,Wisconsin,77,,
Thu Jan 19 2012,Illinois,52,Penn St.,54,,
