Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 27 2016,Illinois,59,Maryland,84,,
Tue Dec 27 2016,Michigan St.,75,Minnesota,74,OT,
Tue Dec 27 2016,Northwestern,87,Penn St.,77,,
Tue Dec 27 2016,Rutgers,52,Wisconsin,72,,
Wed Dec 28 2016,Nebraska,87,Indiana,83,,
Wed Dec 28 2016,Iowa,67,Purdue,89,,
Fri Dec 30 2016,Northwestern,52,Michigan St.,61,,
Sun Jan 1 2017,Ohio St.,70,Illinois,75,,
Sun Jan 1 2017,Michigan,83,Iowa,86,OT,
Sun Jan 1 2017,Nebraska,67,Maryland,65,,
Sun Jan 1 2017,Minnesota,91,Purdue,82,OT,
Sun Jan 1 2017,Penn St.,60,Rutgers,47,,
Tue Jan 3 2017,Wisconsin,75,Indiana,68,,
Wed Jan 4 2017,Penn St.,69,Michigan,72,,
Wed Jan 4 2017,Rutgers,65,Michigan St.,93,,
Thu Jan 5 2017,Iowa,90,Nebraska,93,2OT,
Thu Jan 5 2017,Minnesota,70,Northwestern,66,,
Thu Jan 5 2017,Purdue,76,Ohio St.,75,,
Sat Jan 7 2017,Illinois,80,Indiana,96,,
Sat Jan 7 2017,Maryland,77,Michigan,70,,
Sat Jan 7 2017,Michigan St.,63,Penn St.,72,,
Sun Jan 8 2017,Rutgers,62,Iowa,68,,
Sun Jan 8 2017,Ohio St.,68,Minnesota,78,,
Sun Jan 8 2017,Northwestern,74,Nebraska,66,,
Sun Jan 8 2017,Wisconsin,55,Purdue,66,,
Tue Jan 10 2017,Indiana,72,Maryland,75,,
Wed Jan 11 2017,Michigan,69,Illinois,85,,
Wed Jan 11 2017,Minnesota,47,Michigan St.,65,,
Thu Jan 12 2017,Purdue,78,Iowa,83,,
Thu Jan 12 2017,Northwestern,69,Rutgers,60,,
Thu Jan 12 2017,Ohio St.,66,Wisconsin,89,,
Sat Jan 14 2017,Maryland,62,Illinois,56,,
Sat Jan 14 2017,Nebraska,85,Michigan,91,,
