Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Jan 2 2002,Minnesota,53,Illinois,76,,
Wed Jan 2 2002,Wisconsin,57,Iowa,69,,
Wed Jan 2 2002,Indiana,59,Northwestern,44,,
Wed Jan 2 2002,Michigan,67,Penn St.,63,,
Wed Jan 2 2002,Ohio St.,79,Purdue,71,,
Sat Jan 5 2002,Penn St.,54,Indiana,61,,
Sat Jan 5 2002,Purdue,75,Michigan,79,,
Sat Jan 5 2002,Michigan St.,67,Minnesota,70,,
Sat Jan 5 2002,Iowa,62,Ohio St.,72,,
Sat Jan 5 2002,Illinois,66,Wisconsin,72,,
Tue Jan 8 2002,Michigan St.,65,Indiana,83,,
Wed Jan 9 2002,Northwestern,60,Iowa,70,,
Wed Jan 9 2002,Michigan,82,Minnesota,90,,
Wed Jan 9 2002,Wisconsin,49,Penn St.,51,,
Wed Jan 9 2002,Illinois,75,Purdue,84,,
Sat Jan 12 2002,Michigan,70,Illinois,94,,
Sat Jan 12 2002,Wisconsin,64,Michigan St.,63,,
Sat Jan 12 2002,Ohio St.,55,Northwestern,48,,
Sat Jan 12 2002,Minnesota,87,Purdue,71,,
Sun Jan 13 2002,Indiana,77,Iowa,66,,
Tue Jan 15 2002,Iowa,66,Illinois,77,,
Wed Jan 16 2002,Northwestern,58,Michigan,54,,
Wed Jan 16 2002,Purdue,56,Michigan St.,65,,
Wed Jan 16 2002,Penn St.,57,Ohio St.,76,,
Wed Jan 16 2002,Minnesota,64,Wisconsin,73,,
Sat Jan 19 2002,Minnesota,69,Michigan,71,,
Sat Jan 19 2002,Iowa,50,Northwestern,63,,
Sat Jan 19 2002,Indiana,67,Ohio St.,73,,
Sat Jan 19 2002,Michigan St.,77,Penn St.,65,,
Sat Jan 19 2002,Purdue,66,Wisconsin,77,,
Tue Jan 22 2002,Michigan St.,71,Iowa,75,,
Wed Jan 23 2002,Wisconsin,48,Illinois,80,,
Wed Jan 23 2002,Indiana,85,Penn St.,51,,
Wed Jan 23 2002,Northwestern,61,Purdue,63,,
Thu Jan 24 2002,Michigan,47,Ohio St.,69,,
Sat Jan 26 2002,Illinois,57,Indiana,88,,
Sat Jan 26 2002,Ohio St.,71,Minnesota,89,,
Sat Jan 26 2002,Iowa,68,Purdue,73,,
Sat Jan 26 2002,Penn St.,63,Wisconsin,66,,
Tue Jan 29 2002,Illinois,67,Ohio St.,78,,
Wed Jan 30 2002,Michigan,44,Michigan St.,71,,
Wed Jan 30 2002,Penn St.,70,Minnesota,94,,
Wed Jan 30 2002,Wisconsin,60,Northwestern,69,,
Thu Jan 31 2002,Purdue,52,Indiana,66,,
Sat Feb 2 2002,Penn St.,64,Iowa,81,,
Sat Feb 2 2002,Wisconsin,53,Michigan,64,,
Sat Feb 2 2002,Indiana,74,Minnesota,88,,
Sat Feb 2 2002,Northwestern,57,Ohio St.,58,,
Sun Feb 3 2002,Michigan St.,67,Illinois,61,,
Tue Feb 5 2002,Iowa,51,Indiana,79,,
Wed Feb 6 2002,Michigan St.,49,Northwestern,61,,
Wed Feb 6 2002,Purdue,68,Penn St.,81,,
Wed Feb 6 2002,Ohio St.,92,Wisconsin,94,OT,
Thu Feb 7 2002,Illinois,68,Michigan,60,,
Sat Feb 9 2002,Purdue,67,Illinois,69,,
Sat Feb 9 2002,Minnesota,86,Iowa,78,,
Sat Feb 9 2002,Penn St.,58,Michigan,65,,
Sat Feb 9 2002,Northwestern,44,Wisconsin,73,,
Sun Feb 10 2002,Ohio St.,64,Michigan St.,67,,
Tue Feb 12 2002,Illinois,63,Michigan St.,61,,
Wed Feb 13 2002,Wisconsin,64,Indiana,63,,
Wed Feb 13 2002,Minnesota,56,Northwestern,58,,
Wed Feb 13 2002,Iowa,65,Penn St.,71,,
Wed Feb 13 2002,Michigan,43,Purdue,79,,
Sat Feb 16 2002,Ohio St.,72,Iowa,66,,
Sat Feb 16 2002,Wisconsin,67,Minnesota,62,,
Sat Feb 16 2002,Northwestern,55,Penn St.,49,,
Sat Feb 16 2002,Michigan St.,62,Purdue,59,,
Sun Feb 17 2002,Indiana,75,Michigan,55,,
Tue Feb 19 2002,Iowa,56,Wisconsin,64,,
Wed Feb 20 2002,Penn St.,56,Illinois,83,,
Wed Feb 20 2002,Ohio St.,57,Indiana,63,,
Wed Feb 20 2002,Purdue,48,Northwestern,61,,
Thu Feb 21 2002,Minnesota,55,Michigan St.,74,,
Sat Feb 23 2002,Michigan,56,Iowa,76,,
Sat Feb 23 2002,Illinois,56,Northwestern,41,,
Sat Feb 23 2002,Purdue,66,Ohio St.,77,,
Sat Feb 23 2002,Minnesota,68,Penn St.,64,,
Sun Feb 24 2002,Indiana,54,Michigan St.,57,,
Tue Feb 26 2002,Indiana,62,Illinois,70,,
Tue Feb 26 2002,Michigan St.,81,Ohio St.,76,,
Wed Feb 27 2002,Northwestern,51,Minnesota,69,,
Wed Feb 27 2002,Michigan,54,Wisconsin,74,,
Sat Mar 2 2002,Northwestern,67,Indiana,79,,
Sat Mar 2 2002,Ohio St.,84,Michigan,75,,
Sat Mar 2 2002,Iowa,79,Michigan St.,93,,
Sat Mar 2 2002,Penn St.,57,Purdue,92,,
Sun Mar 3 2002,Illinois,67,Minnesota,66,,
