Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 29 2009,Purdue,67,Iowa,56,,
Tue Dec 29 2009,Penn St.,70,Minnesota,75,,
Wed Dec 30 2009,Northwestern,83,Illinois,89,OT,
Thu Dec 31 2009,Michigan,65,Indiana,71,,
Thu Dec 31 2009,Ohio St.,43,Wisconsin,65,,
Sat Jan 2 2010,Minnesota,86,Iowa,74,,
Sat Jan 2 2010,Michigan St.,91,Northwestern,70,,
Sun Jan 3 2010,Ohio St.,64,Michigan,73,,
Sun Jan 3 2010,Wisconsin,63,Penn St.,46,,
Tue Jan 5 2010,Iowa,42,Illinois,59,,
Tue Jan 5 2010,Minnesota,60,Purdue,79,,
Wed Jan 6 2010,Wisconsin,47,Michigan St.,54,,
Wed Jan 6 2010,Indiana,54,Ohio St.,79,,
Thu Jan 7 2010,Michigan,64,Penn St.,55,,
Sat Jan 9 2010,Illinois,66,Indiana,60,,
Sat Jan 9 2010,Michigan St.,71,Iowa,53,,
Sat Jan 9 2010,Ohio St.,62,Minnesota,73,,
Sat Jan 9 2010,Purdue,66,Wisconsin,73,,
Sun Jan 10 2010,Northwestern,68,Michigan,62,,
Tue Jan 12 2010,Penn St.,53,Illinois,54,,
Tue Jan 12 2010,Ohio St.,70,Purdue,66,,
Wed Jan 13 2010,Minnesota,53,Michigan St.,60,,
Wed Jan 13 2010,Wisconsin,60,Northwestern,50,,
Thu Jan 14 2010,Indiana,45,Michigan,69,,
Sat Jan 16 2010,Penn St.,64,Iowa,67,,
Sat Jan 16 2010,Illinois,63,Michigan St.,73,,
Sat Jan 16 2010,Purdue,64,Northwestern,72,,
Sat Jan 16 2010,Wisconsin,51,Ohio St.,60,,
Sun Jan 17 2010,Minnesota,78,Indiana,81,OT,
Tue Jan 19 2010,Purdue,84,Illinois,78,,
Tue Jan 19 2010,Northwestern,56,Ohio St.,76,,
Wed Jan 20 2010,Iowa,63,Michigan St.,70,,
Wed Jan 20 2010,Michigan,48,Wisconsin,54,,
Thu Jan 21 2010,Indiana,67,Penn St.,61,,
Sat Jan 23 2010,Michigan St.,65,Minnesota,64,,
Sat Jan 23 2010,Illinois,68,Northwestern,73,,
Sat Jan 23 2010,Michigan,59,Purdue,69,,
Sun Jan 24 2010,Iowa,58,Indiana,43,,
Sun Jan 24 2010,Penn St.,71,Wisconsin,79,OT,
Tue Jan 26 2010,Michigan St.,57,Michigan,56,,
Tue Jan 26 2010,Northwestern,61,Minnesota,65,,
Wed Jan 27 2010,Ohio St.,65,Iowa,57,,
Wed Jan 27 2010,Illinois,77,Penn St.,67,,
Thu Jan 28 2010,Wisconsin,57,Purdue,60,,
Sat Jan 30 2010,Indiana,70,Illinois,72,,
Sat Jan 30 2010,Iowa,46,Michigan,60,,
Sat Jan 30 2010,Northwestern,70,Michigan St.,79,,
Sun Jan 31 2010,Minnesota,63,Ohio St.,85,,
Sun Jan 31 2010,Penn St.,46,Purdue,66,,
Tue Feb 2 2010,Michigan,52,Northwestern,67,,
Tue Feb 2 2010,Michigan St.,49,Wisconsin,67,,
Wed Feb 3 2010,Illinois,57,Iowa,49,,
Wed Feb 3 2010,Penn St.,62,Ohio St.,75,,
Thu Feb 4 2010,Purdue,78,Indiana,75,,
Sat Feb 6 2010,Michigan St.,73,Illinois,78,,
Sat Feb 6 2010,Wisconsin,62,Michigan,44,,
Sat Feb 6 2010,Minnesota,66,Penn St.,64,,
Sun Feb 7 2010,Indiana,61,Northwestern,78,,
Sun Feb 7 2010,Iowa,58,Ohio St.,68,,
Tue Feb 9 2010,Purdue,76,Michigan St.,64,,
Tue Feb 9 2010,Illinois,63,Wisconsin,56,,
Wed Feb 10 2010,Ohio St.,69,Indiana,52,,
Wed Feb 10 2010,Northwestern,65,Iowa,78,,
