Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Dec 30 2008,Illinois,71,Purdue,67,OT,
Wed Dec 31 2008,Wisconsin,73,Michigan,61,,
Wed Dec 31 2008,Michigan St.,70,Minnesota,58,,
Wed Dec 31 2008,Iowa,65,Ohio St.,68,,
Wed Dec 31 2008,Northwestern,57,Penn St.,61,,
Sat Jan 3 2009,Indiana,60,Iowa,65,,
Sat Jan 3 2009,Ohio St.,59,Minnesota,68,,
Sat Jan 3 2009,Michigan St.,77,Northwestern,66,,
Sat Jan 3 2009,Penn St.,61,Wisconsin,65,,
Sun Jan 4 2009,Illinois,64,Michigan,74,,
Tue Jan 6 2009,Ohio St.,58,Michigan St.,67,,
Tue Jan 6 2009,Purdue,64,Penn St.,67,,
Wed Jan 7 2009,Michigan,72,Indiana,66,OT,
Wed Jan 7 2009,Northwestern,45,Wisconsin,74,,
Thu Jan 8 2009,Minnesota,52,Iowa,49,,
Sat Jan 10 2009,Indiana,45,Illinois,76,,
Sun Jan 11 2009,Iowa,49,Michigan,64,,
Sun Jan 11 2009,Penn St.,59,Minnesota,79,,
Sun Jan 11 2009,Wisconsin,52,Purdue,65,,
Tue Jan 13 2009,Indiana,53,Ohio St.,77,,
Wed Jan 14 2009,Michigan,51,Illinois,66,,
Wed Jan 14 2009,Michigan St.,78,Penn St.,73,,
Thu Jan 15 2009,Purdue,63,Northwestern,61,,
Thu Jan 15 2009,Minnesota,78,Wisconsin,74,OT,
Sat Jan 17 2009,Penn St.,65,Indiana,55,,
Sat Jan 17 2009,Ohio St.,65,Michigan,58,,
Sat Jan 17 2009,Illinois,57,Michigan St.,63,,
Sun Jan 18 2009,Minnesota,65,Northwestern,74,,
Sun Jan 18 2009,Iowa,53,Purdue,75,,
Tue Jan 20 2009,Ohio St.,49,Illinois,67,,
Tue Jan 20 2009,Michigan,58,Penn St.,73,,
Wed Jan 21 2009,Wisconsin,69,Iowa,73,OT,
Wed Jan 21 2009,Northwestern,70,Michigan St.,63,,
