Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Dec 27 2010,Penn St.,69,Indiana,60,,
Tue Dec 28 2010,Purdue,80,Michigan,57,,
Tue Dec 28 2010,Minnesota,60,Wisconsin,68,,
Wed Dec 29 2010,Illinois,87,Iowa,77,,
Fri Dec 31 2010,Ohio St.,85,Indiana,67,,
Fri Dec 31 2010,Minnesota,62,Michigan St.,71,,
Fri Dec 31 2010,Northwestern,69,Purdue,82,,
Sun Jan 2 2011,Wisconsin,61,Illinois,69,,
Sun Jan 2 2011,Penn St.,69,Michigan,76,,
Mon Jan 3 2011,Michigan St.,65,Northwestern,62,,
Tue Jan 4 2011,Ohio St.,73,Iowa,68,,
Tue Jan 4 2011,Indiana,63,Minnesota,67,,
Wed Jan 5 2011,Purdue,83,Penn St.,68,,
Wed Jan 5 2011,Michigan,50,Wisconsin,66,,
Thu Jan 6 2011,Northwestern,63,Illinois,88,,
Sat Jan 8 2011,Michigan St.,62,Penn St.,66,,
Sun Jan 9 2011,Indiana,81,Northwestern,93,,
Sun Jan 9 2011,Minnesota,64,Ohio St.,67,,
Sun Jan 9 2011,Iowa,52,Purdue,75,,
Tue Jan 11 2011,Wisconsin,61,Michigan St.,64,OT,
Tue Jan 11 2011,Illinois,55,Penn St.,57,,
Wed Jan 12 2011,Northwestern,90,Iowa,71,,
Wed Jan 12 2011,Ohio St.,68,Michigan,64,,
Thu Jan 13 2011,Purdue,67,Minnesota,70,,
Sat Jan 15 2011,Michigan,61,Indiana,80,,
Sat Jan 15 2011,Northwestern,67,Michigan St.,71,OT,
Sat Jan 15 2011,Penn St.,66,Ohio St.,69,,
Sat Jan 15 2011,Illinois,66,Wisconsin,76,,
Sun Jan 16 2011,Iowa,59,Minnesota,69,,
Tue Jan 18 2011,Michigan St.,62,Illinois,71,,
Tue Jan 18 2011,Michigan,60,Northwestern,74,,
Wed Jan 19 2011,Iowa,48,Ohio St.,70,,
Wed Jan 19 2011,Penn St.,62,Purdue,63,,
Thu Jan 20 2011,Indiana,60,Wisconsin,69,,
Sat Jan 22 2011,Ohio St.,73,Illinois,68,,
Sat Jan 22 2011,Minnesota,69,Michigan,64,,
Sat Jan 22 2011,Michigan St.,76,Purdue,86,,
Sun Jan 23 2011,Indiana,77,Iowa,91,,
Sun Jan 23 2011,Wisconsin,78,Northwestern,46,,
Tue Jan 25 2011,Purdue,64,Ohio St.,87,,
Wed Jan 26 2011,Northwestern,70,Minnesota,81,,
Wed Jan 26 2011,Iowa,51,Penn St.,65,,
Thu Jan 27 2011,Illinois,49,Indiana,52,,
Thu Jan 27 2011,Michigan,61,Michigan St.,57,,
Sat Jan 29 2011,Ohio St.,58,Northwestern,57,,
Sat Jan 29 2011,Wisconsin,52,Penn St.,56,,
Sat Jan 29 2011,Minnesota,61,Purdue,73,,
Sun Jan 30 2011,Iowa,73,Michigan,87,,
Sun Jan 30 2011,Indiana,83,Michigan St.,84,OT,
Tue Feb 1 2011,Penn St.,51,Illinois,68,,
Tue Feb 1 2011,Purdue,59,Wisconsin,66,,
Wed Feb 2 2011,Minnesota,57,Indiana,60,,
Wed Feb 2 2011,Michigan St.,52,Iowa,72,,
Thu Feb 3 2011,Michigan,53,Ohio St.,62,,
Sat Feb 5 2011,Iowa,64,Indiana,63,,
Sat Feb 5 2011,Illinois,70,Northwestern,71,,
Sun Feb 6 2011,Ohio St.,82,Minnesota,69,,
Sun Feb 6 2011,Michigan,65,Penn St.,62,,
Sun Feb 6 2011,Michigan St.,56,Wisconsin,82,,
Tue Feb 8 2011,Indiana,53,Purdue,67,,
Wed Feb 9 2011,Wisconsin,62,Iowa,59,OT,
Wed Feb 9 2011,Northwestern,66,Michigan,75,,
Thu Feb 10 2011,Penn St.,57,Michigan St.,75,,
Thu Feb 10 2011,Illinois,71,Minnesota,62,,
Sat Feb 12 2011,Indiana,69,Michigan,73,,
Sat Feb 12 2011,Ohio St.,67,Wisconsin,71,,
Sun Feb 13 2011,Purdue,81,Illinois,70,,
Sun Feb 13 2011,Minnesota,62,Iowa,45,,
Sun Feb 13 2011,Northwestern,41,Penn St.,65,,
Tue Feb 15 2011,Michigan St.,61,Ohio St.,71,,
Wed Feb 16 2011,Michigan,52,Illinois,54,,
Wed Feb 16 2011,Wisconsin,62,Purdue,70,,
