Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 2 2007,Indiana,67,Ohio St.,74,,
Wed Jan 3 2007,Illinois,61,Michigan,71,,
Wed Jan 3 2007,Purdue,59,Minnesota,65,,
Wed Jan 3 2007,Northwestern,57,Penn St.,83,,
Thu Jan 4 2007,Michigan St.,60,Iowa,62,,
Sat Jan 6 2007,Ohio St.,62,Illinois,44,,
Sat Jan 6 2007,Michigan,58,Northwestern,46,,
Sat Jan 6 2007,Penn St.,60,Purdue,64,,
Sat Jan 6 2007,Minnesota,45,Wisconsin,68,,
Sun Jan 7 2007,Michigan St.,51,Indiana,73,,
Tue Jan 9 2007,Ohio St.,69,Wisconsin,72,,
Wed Jan 10 2007,Iowa,70,Illinois,74,,
Wed Jan 10 2007,Purdue,58,Indiana,85,,
Wed Jan 10 2007,Northwestern,45,Michigan St.,66,,
Sat Jan 13 2007,Minnesota,49,Iowa,60,,
Sat Jan 13 2007,Wisconsin,56,Northwestern,50,,
Sat Jan 13 2007,Indiana,84,Penn St.,74,,
Sat Jan 13 2007,Michigan,53,Purdue,67,,
Sun Jan 14 2007,Illinois,57,Michigan St.,63,,
Tue Jan 16 2007,Iowa,64,Indiana,71,,
Wed Jan 17 2007,Penn St.,57,Michigan,77,,
Wed Jan 17 2007,Illinois,64,Minnesota,52,,
Wed Jan 17 2007,Northwestern,41,Ohio St.,73,,
Wed Jan 17 2007,Purdue,64,Wisconsin,69,,
Sat Jan 20 2007,Wisconsin,71,Illinois,64,,
Sat Jan 20 2007,Purdue,55,Michigan,71,,
Sat Jan 20 2007,Northwestern,55,Minnesota,40,,
Sat Jan 20 2007,Iowa,63,Ohio St.,82,,
Sat Jan 20 2007,Michigan St.,91,Penn St.,64,,
Tue Jan 23 2007,Indiana,43,Illinois,51,,
Wed Jan 24 2007,Penn St.,63,Iowa,79,,
Wed Jan 24 2007,Minnesota,46,Michigan St.,70,,
Wed Jan 24 2007,Ohio St.,59,Northwestern,50,,
Wed Jan 24 2007,Michigan,58,Wisconsin,71,,
Sat Jan 27 2007,Michigan,61,Indiana,76,,
Sat Jan 27 2007,Penn St.,60,Minnesota,65,,
Sat Jan 27 2007,Michigan St.,64,Ohio St.,66,,
Sat Jan 27 2007,Illinois,47,Purdue,64,,
Sun Jan 28 2007,Wisconsin,57,Iowa,46,,
Tue Jan 30 2007,Michigan St.,50,Illinois,57,,
Wed Jan 31 2007,Wisconsin,66,Indiana,71,,
Wed Jan 31 2007,Iowa,69,Michigan,62,,
Wed Jan 31 2007,Minnesota,62,Northwestern,55,,
Wed Jan 31 2007,Ohio St.,78,Purdue,60,,
Sat Feb 3 2007,Minnesota,49,Illinois,59,,
Sat Feb 3 2007,Indiana,75,Iowa,81,,
Sat Feb 3 2007,Ohio St.,63,Michigan St.,54,,
Sat Feb 3 2007,Purdue,69,Penn St.,59,,
Sat Feb 3 2007,Northwestern,52,Wisconsin,69,,
Tue Feb 6 2007,Michigan,63,Ohio St.,76,,
Wed Feb 7 2007,Iowa,91,Minnesota,78,,
Wed Feb 7 2007,Illinois,58,Northwestern,43,,
Wed Feb 7 2007,Wisconsin,71,Penn St.,58,,
Wed Feb 7 2007,Michigan St.,38,Purdue,62,,
Sat Feb 10 2007,Minnesota,80,Michigan,82,,
Sat Feb 10 2007,Penn St.,51,Northwestern,53,,
Sat Feb 10 2007,Purdue,56,Ohio St.,63,,
Sat Feb 10 2007,Iowa,62,Wisconsin,74,,
Mon Feb 12 2007,Illinois,61,Indiana,65,,
Tue Feb 13 2007,Michigan,44,Michigan St.,59,,
Wed Feb 14 2007,Wisconsin,75,Minnesota,62,,
Wed Feb 14 2007,Ohio St.,64,Penn St.,62,,
Thu Feb 15 2007,Northwestern,58,Iowa,66,,
Thu Feb 15 2007,Indiana,68,Purdue,81,,
Sat Feb 17 2007,Indiana,55,Michigan,58,,
Sat Feb 17 2007,Iowa,49,Michigan St.,81,,
Sat Feb 17 2007,Penn St.,49,Wisconsin,75,,
Sun Feb 18 2007,Northwestern,37,Illinois,48,,
Sun Feb 18 2007,Ohio St.,85,Minnesota,67,,
Tue Feb 20 2007,Wisconsin,55,Michigan St.,64,,
Wed Feb 21 2007,Michigan,42,Illinois,54,,
Wed Feb 21 2007,Minnesota,59,Indiana,71,,
Wed Feb 21 2007,Purdue,59,Iowa,78,,
Wed Feb 21 2007,Penn St.,60,Ohio St.,68,,
Sat Feb 24 2007,Indiana,58,Michigan St.,66,,
Sat Feb 24 2007,Michigan,62,Minnesota,51,,
Sat Feb 24 2007,Purdue,75,Northwestern,68,,
Sat Feb 24 2007,Illinois,68,Penn St.,50,,
Sun Feb 25 2007,Wisconsin,48,Ohio St.,49,,
Tue Feb 27 2007,Michigan St.,56,Michigan,67,,
Wed Feb 28 2007,Indiana,69,Northwestern,65,,
Wed Feb 28 2007,Iowa,72,Penn St.,74,,
Wed Feb 28 2007,Minnesota,47,Purdue,66,,
Sat Mar 3 2007,Penn St.,63,Indiana,94,,
Sat Mar 3 2007,Illinois,53,Iowa,60,,
Sat Mar 3 2007,Ohio St.,65,Michigan,61,,
Sat Mar 3 2007,Northwestern,50,Purdue,73,,
Sat Mar 3 2007,Michigan St.,50,Wisconsin,52,,
