Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 9 2013,Northwestern,57,Iowa,71,,
Sat Feb 9 2013,Penn St.,53,Nebraska,67,,
Sat Feb 9 2013,Michigan St.,78,Purdue,65,,
Sat Feb 9 2013,Michigan,62,Wisconsin,65,OT,
Sun Feb 10 2013,Illinois,57,Minnesota,53,,
Sun Feb 10 2013,Indiana,81,Ohio St.,68,,
Tue Feb 12 2013,Michigan,52,Michigan St.,75,,
Wed Feb 13 2013,Purdue,59,Illinois,79,,
Wed Feb 13 2013,Nebraska,47,Indiana,76,,
Thu Feb 14 2013,Wisconsin,53,Minnesota,58,OT,
Thu Feb 14 2013,Northwestern,59,Ohio St.,69,,
Thu Feb 14 2013,Iowa,74,Penn St.,72,,
Sat Feb 16 2013,Purdue,55,Indiana,83,,
Sat Feb 16 2013,Michigan St.,73,Nebraska,64,,
Sun Feb 17 2013,Minnesota,51,Iowa,72,,
Sun Feb 17 2013,Penn St.,71,Michigan,79,,
Sun Feb 17 2013,Illinois,62,Northwestern,41,,
Sun Feb 17 2013,Ohio St.,49,Wisconsin,71,,
Tue Feb 19 2013,Indiana,72,Michigan St.,68,,
Wed Feb 20 2013,Wisconsin,69,Northwestern,41,,
Wed Feb 20 2013,Minnesota,45,Ohio St.,71,,
Thu Feb 21 2013,Penn St.,59,Illinois,64,,
Sat Feb 23 2013,Iowa,60,Nebraska,64,,
Sun Feb 24 2013,Illinois,58,Michigan,71,,
Sun Feb 24 2013,Michigan St.,60,Ohio St.,68,,
Sun Feb 24 2013,Northwestern,43,Purdue,74,,
Tue Feb 26 2013,Indiana,73,Minnesota,77,,
Tue Feb 26 2013,Nebraska,46,Wisconsin,77,,
Wed Feb 27 2013,Purdue,48,Iowa,58,,
Wed Feb 27 2013,Michigan,78,Penn St.,84,,
Thu Feb 28 2013,Ohio St.,63,Northwestern,53,,
Sat Mar 2 2013,Nebraska,65,Illinois,72,,
Sat Mar 2 2013,Iowa,60,Indiana,73,,
Sat Mar 2 2013,Penn St.,44,Minnesota,73,,
Sun Mar 3 2013,Michigan St.,57,Michigan,58,,
Sun Mar 3 2013,Purdue,69,Wisconsin,56,,
Tue Mar 5 2013,Ohio St.,67,Indiana,58,,
Tue Mar 5 2013,Illinois,55,Iowa,63,,
Wed Mar 6 2013,Minnesota,51,Nebraska,53,,
Wed Mar 6 2013,Michigan,80,Purdue,75,,
Thu Mar 7 2013,Wisconsin,43,Michigan St.,58,,
Thu Mar 7 2013,Penn St.,66,Northwestern,59,,
Sat Mar 9 2013,Nebraska,60,Iowa,74,,
Sat Mar 9 2013,Minnesota,73,Purdue,89,,
Sun Mar 10 2013,Indiana,72,Michigan,71,,
Sun Mar 10 2013,Northwestern,61,Michigan St.,71,,
Sun Mar 10 2013,Illinois,55,Ohio St.,68,,
Sun Mar 10 2013,Wisconsin,63,Penn St.,60,,
