Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Jan 2 2008,Indiana,79,Iowa,76,,
Wed Jan 2 2008,Wisconsin,70,Michigan,54,,
Wed Jan 2 2008,Penn St.,79,Northwestern,68,,
Thu Jan 3 2008,Ohio St.,74,Illinois,58,,
Sat Jan 5 2008,Minnesota,59,Michigan St.,65,,
Sat Jan 5 2008,Michigan,58,Purdue,65,,
Sat Jan 5 2008,Iowa,51,Wisconsin,64,,
Sun Jan 6 2008,Penn St.,68,Illinois,64,,
Sun Jan 6 2008,Northwestern,51,Ohio St.,62,,
Tue Jan 8 2008,Indiana,78,Michigan,64,,
Tue Jan 8 2008,Purdue,75,Michigan St.,78,,
Wed Jan 9 2008,Northwestern,63,Minnesota,82,,
Wed Jan 9 2008,Iowa,48,Ohio St.,79,,
Thu Jan 10 2008,Illinois,60,Wisconsin,70,,
Sat Jan 12 2008,Michigan St.,36,Iowa,43,,
Sat Jan 12 2008,Michigan,78,Northwestern,68,,
Sat Jan 12 2008,Minnesota,76,Penn St.,73,,
Sat Jan 12 2008,Ohio St.,68,Purdue,75,,
Sun Jan 13 2008,Illinois,58,Indiana,62,,
Tue Jan 15 2008,Ohio St.,60,Michigan St.,66,,
Tue Jan 15 2008,Wisconsin,80,Penn St.,55,,
Wed Jan 16 2008,Michigan,57,Illinois,75,,
Wed Jan 16 2008,Purdue,67,Iowa,62,,
Thu Jan 17 2008,Indiana,65,Minnesota,60,,
Sat Jan 19 2008,Iowa,68,Michigan,60,,
Sat Jan 19 2008,Illinois,67,Purdue,74,,
Sat Jan 19 2008,Northwestern,50,Wisconsin,62,,
Sun Jan 20 2008,Penn St.,65,Indiana,81,,
Sun Jan 20 2008,Michigan St.,78,Minnesota,73,,
Tue Jan 22 2008,Illinois,58,Ohio St.,64,,
Tue Jan 22 2008,Michigan,61,Wisconsin,64,,
Wed Jan 23 2008,Iowa,43,Indiana,65,,
Wed Jan 23 2008,Purdue,64,Penn St.,42,,
Thu Jan 24 2008,Michigan St.,78,Northwestern,62,,
Sat Jan 26 2008,Penn St.,49,Iowa,64,,
Sat Jan 26 2008,Minnesota,60,Ohio St.,76,,
Sat Jan 26 2008,Wisconsin,56,Purdue,60,,
Sun Jan 27 2008,Northwestern,37,Illinois,70,,
Sun Jan 27 2008,Michigan,62,Michigan St.,77,,
Tue Jan 29 2008,Ohio St.,68,Penn St.,56,,
Wed Jan 30 2008,Illinois,41,Michigan St.,51,,
Wed Jan 30 2008,Iowa,50,Purdue,51,,
Thu Jan 31 2008,Minnesota,77,Michigan,65,,
Thu Jan 31 2008,Indiana,49,Wisconsin,62,,
Sat Feb 2 2008,Purdue,83,Illinois,75,,
Sat Feb 2 2008,Ohio St.,48,Iowa,53,,
Sat Feb 2 2008,Michigan St.,76,Penn St.,85,,
Sun Feb 3 2008,Northwestern,63,Indiana,75,,
Sun Feb 3 2008,Wisconsin,63,Minnesota,47,,
Tue Feb 5 2008,Michigan,55,Ohio St.,65,,
Tue Feb 5 2008,Penn St.,53,Purdue,67,,
Wed Feb 6 2008,Wisconsin,60,Iowa,54,,
Wed Feb 6 2008,Minnesota,92,Northwestern,72,,
Thu Feb 7 2008,Indiana,83,Illinois,79,2OT,
Sat Feb 9 2008,Penn St.,63,Michigan,68,,
Sat Feb 9 2008,Northwestern,55,Michigan St.,70,,
Sat Feb 9 2008,Iowa,50,Minnesota,63,,
Sat Feb 9 2008,Purdue,72,Wisconsin,67,,
Sun Feb 10 2008,Indiana,59,Ohio St.,53,,
Tue Feb 12 2008,Illinois,84,Minnesota,60,,
Tue Feb 12 2008,Michigan St.,54,Purdue,60,,
Wed Feb 13 2008,Wisconsin,68,Indiana,66,,
Wed Feb 13 2008,Ohio St.,65,Northwestern,47,,
Thu Feb 14 2008,Michigan,60,Iowa,52,,
Sat Feb 16 2008,Michigan St.,61,Indiana,80,,
Sat Feb 16 2008,Purdue,71,Northwestern,56,,
Sat Feb 16 2008,Illinois,51,Penn St.,52,,
Sat Feb 16 2008,Minnesota,56,Wisconsin,65,,
Sun Feb 17 2008,Ohio St.,70,Michigan,80,,
Tue Feb 19 2008,Purdue,68,Indiana,77,,
Tue Feb 19 2008,Northwestern,51,Iowa,53,,
Wed Feb 20 2008,Wisconsin,71,Illinois,57,,
Wed Feb 20 2008,Penn St.,49,Michigan St.,86,,
Thu Feb 21 2008,Michigan,60,Minnesota,69,,
Sat Feb 23 2008,Illinois,43,Michigan,49,,
Sat Feb 23 2008,Iowa,52,Michigan St.,66,,
Sat Feb 23 2008,Indiana,85,Northwestern,82,,
Sun Feb 24 2008,Penn St.,68,Minnesota,75,,
Sun Feb 24 2008,Wisconsin,58,Ohio St.,53,,
Tue Feb 26 2008,Ohio St.,69,Indiana,72,,
Tue Feb 26 2008,Northwestern,62,Michigan,60,,
Wed Feb 27 2008,Iowa,64,Penn St.,65,,
Wed Feb 27 2008,Minnesota,53,Purdue,65,,
Thu Feb 28 2008,Michigan St.,42,Wisconsin,57,,
Sat Mar 1 2008,Illinois,58,Iowa,47,,
Sat Mar 1 2008,Ohio St.,57,Minnesota,71,,
Sat Mar 1 2008,Michigan,61,Penn St.,69,,
Sat Mar 1 2008,Northwestern,43,Purdue,68,,
Sun Mar 2 2008,Indiana,74,Michigan St.,103,,
Tue Mar 4 2008,Iowa,67,Northwestern,62,,
Tue Mar 4 2008,Purdue,77,Ohio St.,80,OT,
Wed Mar 5 2008,Minnesota,55,Indiana,69,,
Wed Mar 5 2008,Penn St.,41,Wisconsin,77,,
Thu Mar 6 2008,Michigan St.,59,Illinois,51,,
Sat Mar 8 2008,Minnesota,58,Illinois,67,,
Sat Mar 8 2008,Wisconsin,65,Northwestern,52,,
Sun Mar 9 2008,Purdue,72,Michigan,58,,
Sun Mar 9 2008,Michigan St.,54,Ohio St.,63,,
Sun Mar 9 2008,Indiana,64,Penn St.,68,OT,
